"SYMBOL","ENTREZID"
"ANKRD10","55608"
"PPP1R26","9858"
"CLDN10","9071"
"SRC","6714"
"SHANK2","22941"
"ARSD","414"
"PPP2R2D","55844"
"CRB3","92359"
"IGFBP2","3485"
"TMEM191B","728229"
"TRPM6","140803"
"ATP8B3","148229"
"GGH","8836"
"USH1G","124590"
"MYCL","4610"
"BAHD1","22893"
"MAGEA11","4110"
