Model	merge	GSE53622	GSE53624	TCGA	All
StepCox[backward] + GBM	0.669169404035664	0.750176429075512	0.648875461564283	0.650099403578529	0.679580174563497
StepCox[backward] + Lasso	0.62167996245894	0.750176429075512	0.567640147700571	0.647117296222664	0.646653458864421
StepCox[backward] + plsRcox	0.619333646175504	0.750882145377558	0.565626049009735	0.644135188866799	0.644994257357399
StepCox[backward] + Ridge	0.626419521351478	0.751587861679605	0.575193017791205	0.652087475149105	0.651321968992848
StepCox[backward] + RSF	0.698686062881276	0.875088214537756	0.633769721383014	0.6779324055666	0.721369101092162
StepCox[backward] + SuperPC	0.675879868606288	0.671841919548342	0.672205438066465	0.672962226640159	0.673222363215313
StepCox[backward] + survival-SVM	0.667010793054904	0.681016231474947	0.678079892581403	0.629224652087475	0.663832892299682
StepCox[forward] + CoxBoost	0.5	0.5	0.5	0.5	0.5
StepCox[forward] + Enet[α=0.1]	0.68700140778977	0.722653493295695	0.675562269217858	0.70675944333996	0.697994153410821
StepCox[forward] + Enet[α=0.2]	0.67254809948381	0.720536344389555	0.653575025176234	0.690854870775348	0.684378584956237
StepCox[forward] + Enet[α=0.3]	0.660910370717973	0.712773465067043	0.636287344746559	0.68986083499006	0.674958003880409
StepCox[forward] + Enet[α=0.4]	0.656593148756452	0.70712773465067	0.632426988922457	0.684890656063618	0.6702596320983
StepCox[forward] + Enet[α=0.5]	0.653683716564993	0.705716302046577	0.63091641490433	0.68389662027833	0.668553263448558
StepCox[forward] + Enet[α=0.6]	0.65415297982168	0.705716302046577	0.632762672037597	0.685884691848907	0.66962916143869
StepCox[forward] + Enet[α=0.7]	0.653402158610981	0.701482004234298	0.632426988922457	0.68389662027833	0.667801943011516
StepCox[forward] + Enet[α=0.8]	0.653871421867668	0.702187720536344	0.632259147364888	0.68389662027833	0.668053727511807
StepCox[forward] + Enet[α=0.9]	0.651102768653214	0.698659139026112	0.628902316213494	0.685884691848907	0.666137228935432
StepCox[forward] + GBM	0.689300797747536	0.777699364855328	0.657267539442766	0.679920477137177	0.701047044795702
StepCox[forward] + Lasso	0.5	0.5	0.5	0.5	0.5
StepCox[forward] + plsRcox	0.635710933833881	0.768525052928723	0.590130916414904	0.640159045725646	0.658631487225788
StepCox[forward] + Ridge	0.5	0.5	0.5	0.5	0.5
StepCox[forward] + RSF	0.733646175504458	0.897671136203246	0.675058744545149	0.709741550695825	0.75402940173717
StepCox[forward] + SuperPC	0.671187236039418	0.691601976005646	0.666666666666667	0.675944333996024	0.676350053176939
StepCox[forward] + survival-SVM	0.686907555138433	0.695130557515879	0.704766700234978	0.659045725646123	0.686462634633853
CoxBoost	0.5	0.5	0.5	0.5	0.5
plsRcox	0.635710933833881	0.768525052928723	0.590130916414904	0.640159045725646	0.658631487225788
SuperPC	0.671187236039418	0.691601976005646	0.666666666666667	0.675944333996024	0.676350053176939
GBM	0.689300797747536	0.777699364855328	0.657267539442766	0.679920477137177	0.701047044795702
survival - SVM	0.686907555138433	0.695130557515879	0.704766700234978	0.659045725646123	0.686462634633853
Ridge	0.685312060065697	0.73606210303458	0.661295736824438	0.697813121272366	0.69512075529927
Lasso	0.65053965274519	0.698659139026112	0.628566633098355	0.686878727634195	0.666161038125963
Lasso + CoxBoost	0.658986391365556	0.70712773465067	0.634944612286002	0.675944333996024	0.669250768074563
Lasso + GBM	0.662177381511028	0.751587861679605	0.615810674723061	0.694831013916501	0.681101732957549
Lasso + plsRcox	0.658235570154857	0.709950599858857	0.637462235649547	0.664015904572565	0.667416077558956
Lasso + RSF	0.696152041295167	0.875793930839802	0.624202752601544	0.702783300198807	0.72473300623383
Lasso + StepCox[both]	0.636508681370249	0.664784756527876	0.62604900973481	0.642147117296223	0.642372391232289
Lasso + StepCox[backward]	0.636508681370249	0.664784756527876	0.62604900973481	0.642147117296223	0.642372391232289
Lasso + StepCox[forward]	0.658188643829188	0.709950599858857	0.637462235649547	0.664015904572565	0.667404345977539
Lasso + SuperPC	0.649225715626466	0.70924488355681	0.628398791540785	0.657057654075547	0.660981761199902
Lasso + survival-SVM	0.656030032848428	0.704304869442484	0.636958710976838	0.673956262425447	0.667812468923299
